entity_id,claim_id,rank,property_id,datatype,datavalue,sampling_weight_vb,sampling_weight
Q586904,Q586904$dac80c52-498c-7ffc-5cba-ec603bbe1e81,normal,P2769,quantity,"{'value': {'amount': '+3100000000', 'unit': 'http://www.wikidata.org/entity/Q173117'}, 'type': 'quantity'}",12|6,2.0
Q55038,Q55038$cfb254d6-43a1-f346-eb98-a4ea80a04a67,normal,P2769,quantity,"{'value': {'amount': '+87969000', 'unit': 'http://www.wikidata.org/entity/Q4916'}, 'type': 'quantity'}",12|6,2.0
Q1262605,Q1262605$671F8849-67E4-478A-8A22-F9CCAD180A28,normal,P2769,quantity,"{'value': {'amount': '+203000000', 'unit': 'http://www.wikidata.org/entity/Q4916'}, 'type': 'quantity'}",12|6,2.0
Q383568,Q383568$e05aa00d-458f-ad0e-015d-953df7423a06,normal,P2769,quantity,"{'value': {'amount': '+372154373', 'unit': 'http://www.wikidata.org/entity/Q4916'}, 'type': 'quantity'}",12|6,2.0
Q29718,Q29718$82BDB79F-6B7D-4E50-A544-AF186712098E,normal,P2769,quantity,"{'value': {'amount': '+103950000', 'unit': 'http://www.wikidata.org/entity/Q4916'}, 'type': 'quantity'}",12|6,2.0
Q1780212,Q1780212$18270c52-4a96-c232-bd2f-b579c5f17c89,normal,P2769,quantity,"{'value': {'amount': '+149430023', 'unit': 'http://www.wikidata.org/entity/Q4916'}, 'type': 'quantity'}",12|6,2.0
Q7842,Q7842$788d1482-47b7-2e6c-6616-14b39171b22e,normal,P1814,string,"{'value': 'とうきょうだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q7646989,Q7646989$0E51C109-B59A-4FF3-AC4F-8DD55A53BEE0,normal,P1814,string,"{'value': 'するがだいだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q1057199,Q1057199$a04abd2c-418f-f168-ffad-d785c85f5f4d,normal,P1814,string,"{'value': 'ほっかいどうだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q743615,Q743615$cf06ad43-4445-9e82-198a-6f7a537dd0f4,normal,P1814,string,"{'value': 'つくばだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q2114730,Q2114730$cb5d80b0-4491-0b48-ba51-1b83ebe8b250,normal,P1814,string,"{'value': 'しずおかけんりつだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q1151045,Q1151045$AE86393E-0538-4227-B17D-C4C19A3B4E9B,normal,P1814,string,"{'value': 'しずおかだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q1093363,Q1093363$5AF0B364-8274-4932-AB2A-4B140DCDD64C,normal,P1814,string,"{'value': 'ふくおかけんりつだいがく', 'type': 'string'}",13|7,1.8571428571428572
Q4315019,Q4315019$796b569b-4953-c202-cce7-8b6e88e31ba3,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3406815, 'id': 'Q3406815'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q55038,Q55038$AED8C49A-801A-4AEF-ADC2-086C612158C7,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 212275, 'id': 'Q212275'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q10482047,Q10482047$204f0720-43f0-8fe6-293f-1fa8eb1653a3,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5131475, 'id': 'Q5131475'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q636818,Q636818$c545b334-47bd-0288-3dc1-a68a991adfd8,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 100735794, 'id': 'Q100735794'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q18351500,Q18351500$338747b2-4154-ae7c-d911-dbf4c0b46c4b,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 19776241, 'id': 'Q19776241'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q4315019,Q4315019$b0d654b7-4010-2223-b0cd-2d1a4dc4bcae,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 74884, 'id': 'Q74884'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q1133013,Q1133013$bd08da35-42a1-7358-f757-1bc6480428a9,normal,P669,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 4471973, 'id': 'Q4471973'}, 'type': 'wikibase-entityid'}",14|7,2.0
Q11124694,Q11124694$86cf01f1-43a4-22c4-dbeb-79f80f2b213d,normal,P156,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1108197, 'id': 'Q1108197'}, 'type': 'wikibase-entityid'}",16|7,2.2857142857142856
